HospitalID,IndicatorID,Date,HospitalValue,BoardValue
27,16,01 Oct 2018,-0.143,-0.109
27,25,29 Apr 2021,NA,61
27,26,29 Apr 2021,NA,13
27,27,01 Apr 2021,NA,1864
27,28,01 Apr 2021,0.049,0.048
27,29,01 Apr 2021,0.014,0.015
27,30,31 Mar 2021,NA,26
27,31,31 Mar 2021,NA,221
27,32,31 Mar 2021,NA,59
27,33,31 Mar 2021,NA,271.4
27,34,01 Mar 2021,NA,0.767
27,39,01 Dec 2020,674.258,1051.677
27,18,31 Mar 2021,NA,34
27,19,31 Mar 2021,NA,70
27,35,31 Mar 2021,NA,0.612
27,36,31 Mar 2021,NA,12169.5
27,37,31 Mar 2021,NA,481.4
27,38,31 Mar 2021,NA,5358.8
28,1,20 Jun 2021,456,1583
28,2,20 Jun 2021,0.897,0.92
28,3,20 Jun 2021,47,127
28,4,20 Jun 2021,3,3
28,5,20 Jun 2021,0,0
28,6,31 May 2021,1807,7453
28,7,31 May 2021,0.939,0.943
28,10,31 May 2021,111,422
28,12,31 May 2021,4,6
28,13,31 May 2021,0,0
28,14,31 May 2021,0.16,0.255
28,15,01 Oct 2018,0.762,0.796
28,16,01 Oct 2018,-0.05,-0.109
28,25,29 Apr 2021,NA,61
28,26,29 Apr 2021,NA,13
28,27,01 Apr 2021,NA,1864
28,28,01 Apr 2021,0.047,0.048
28,29,01 Apr 2021,0.018,0.015
28,30,31 Mar 2021,NA,26
28,31,31 Mar 2021,NA,221
28,32,31 Mar 2021,NA,59
28,33,31 Mar 2021,NA,271.4
28,34,01 Mar 2021,NA,0.767
28,39,01 Dec 2020,185.903,1051.677
28,18,31 Mar 2021,NA,34
28,19,31 Mar 2021,NA,70
28,35,31 Mar 2021,NA,0.612
28,36,31 Mar 2021,NA,12169.5
28,37,31 Mar 2021,NA,481.4
28,38,31 Mar 2021,NA,5358.8
71,1,20 Jun 2021,NA,1583
71,2,20 Jun 2021,NA,0.92
71,3,20 Jun 2021,NA,127
71,4,20 Jun 2021,NA,3
71,5,20 Jun 2021,NA,0
71,6,31 May 2021,NA,7453
71,7,31 May 2021,NA,0.943
71,10,31 May 2021,NA,422
71,12,31 May 2021,NA,6
71,13,31 May 2021,NA,0
71,14,31 May 2021,NA,0.255
71,15,01 Oct 2018,2.209,0.796
71,16,01 Oct 2018,0.718,-0.109
71,25,29 Apr 2021,NA,61
71,26,29 Apr 2021,NA,13
71,27,01 Apr 2021,NA,1864
71,28,01 Apr 2021,0.044,0.048
71,29,01 Apr 2021,0.015,0.015
71,30,31 Mar 2021,NA,26
71,31,31 Mar 2021,NA,221
71,32,31 Mar 2021,NA,59
71,33,31 Mar 2021,NA,271.4
71,34,01 Mar 2021,NA,0.767
71,39,01 Dec 2020,30,1051.677
71,18,31 Mar 2021,NA,34
71,19,31 Mar 2021,NA,70
71,35,31 Mar 2021,NA,0.612
71,36,31 Mar 2021,NA,12169.5
71,37,31 Mar 2021,NA,481.4
71,38,31 Mar 2021,NA,5358.8
49,1,20 Jun 2021,93,93
49,2,20 Jun 2021,0.978,0.978
49,3,20 Jun 2021,2,2
49,4,20 Jun 2021,0,0
49,5,20 Jun 2021,0,0
49,6,31 May 2021,374,564
49,7,31 May 2021,0.925,0.95
49,10,31 May 2021,28,28
